mse,ssim,psnr,perceptual_loss,loss
3930.037615,0.310613,13.118482,51358.273047,6497.951270
1539.348540,0.499859,16.321235,44834.260430,3781.061631
1257.552522,0.602358,17.221994,38149.842617,3165.044697
1012.930934,0.688602,18.162125,32724.863984,2649.174148
862.675032,0.752218,18.854549,25330.936914,2129.221895
782.484023,0.796516,19.316282,20536.130937,1809.290598
707.044020,0.821099,19.756117,17559.255176,1585.006797
669.851769,0.837674,19.989680,16097.825859,1474.743081
652.996526,0.848386,20.110070,15230.276602,1414.510365
625.854597,0.855846,20.287395,14095.193770,1330.614285
598.840280,0.863598,20.486451,13869.198281,1292.300200
595.991238,0.867310,20.498757,13528.341074,1272.408306
589.838271,0.870998,20.558748,13399.964824,1259.836520
583.281320,0.873637,20.617382,12972.608164,1231.911746
568.519296,0.876307,20.726059,12722.958496,1204.667231
573.211670,0.878564,20.698076,12834.088184,1214.916094
563.177743,0.879637,20.755046,12550.592051,1190.707343
553.622313,0.881155,20.845789,12218.106416,1164.527648
563.770323,0.881133,20.769022,12349.007217,1181.220701
546.983912,0.883568,20.895519,12151.033750,1154.535613
546.473462,0.884547,20.897223,11873.854395,1140.166190
543.819976,0.885349,20.918135,11897.939473,1138.716958
543.867907,0.885765,20.928461,12043.409111,1146.038368
550.566933,0.885578,20.862625,12064.623779,1153.798131
540.459337,0.888214,20.950188,11574.087451,1119.163728
537.611764,0.888261,20.970251,11589.184385,1117.070986
542.542774,0.887527,20.928484,11793.481797,1132.216869
538.507371,0.888736,20.971344,11549.441787,1115.979469
526.621912,0.890195,21.065665,11229.727900,1088.108318
535.336387,0.890171,20.996750,11175.487520,1094.110775
531.757168,0.890517,21.022282,11223.465020,1092.930430
532.236224,0.889922,21.019856,11425.731777,1103.522819
546.511834,0.888810,20.906898,11765.239121,1134.773795
532.959935,0.890366,21.008915,11393.262549,1102.623070
537.745751,0.890363,20.973977,11411.880713,1108.339801
523.680938,0.891580,21.090894,10899.614355,1068.661658
534.140015,0.891030,21.011609,11440.940068,1106.187030
531.026368,0.891763,21.029529,11102.485420,1086.150649
531.363337,0.892099,21.028001,11134.964775,1088.111593
520.031723,0.892689,21.118004,11290.761270,1084.569799
538.477302,0.890804,20.973949,11361.450937,1106.549855
520.370391,0.893127,21.119129,11464.491152,1093.594951
529.104394,0.892846,21.049286,11277.512695,1092.980037
534.424106,0.892626,21.005322,11586.549111,1113.751573
534.555347,0.892389,21.012706,11147.335312,1091.922126
523.618859,0.893522,21.092748,11088.352344,1078.036490
548.631761,0.891486,20.884489,11791.062559,1138.184902
527.203937,0.893223,21.065075,11234.207695,1088.914323
539.842479,0.892148,20.946634,11682.268945,1123.955940
539.753763,0.892009,20.959781,11996.997930,1139.603674
